/home/bw584/Chord-Classification/Models/CNN/cnn_train.py:163: UserWarning: Rare classes (<2 samples) – random split applied.
  warnings.warn("Rare classes (<2 samples) – random split applied.")
/home/bw584/Chord-Classification/Models/CNN/cnn_train.py:208: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=device.type == "cuda")
Epoch 01  val_acc=0.304 f1_macro=0.025  f1_weighted=0.229
Epoch 02  val_acc=0.393 f1_macro=0.036  f1_weighted=0.317
Epoch 03  val_acc=0.440 f1_macro=0.043  f1_weighted=0.363
Epoch 04  val_acc=0.707 f1_macro=0.076  f1_weighted=0.616
Epoch 05  val_acc=0.712 f1_macro=0.086  f1_weighted=0.631
Epoch 06  val_acc=0.697 f1_macro=0.091  f1_weighted=0.622
Epoch 07  val_acc=0.742 f1_macro=0.114  f1_weighted=0.668
Epoch 08  val_acc=0.732 f1_macro=0.125  f1_weighted=0.672
Epoch 09  val_acc=0.748 f1_macro=0.136  f1_weighted=0.682
Epoch 10  val_acc=0.752 f1_macro=0.139  f1_weighted=0.693
Epoch 11  val_acc=0.772 f1_macro=0.159  f1_weighted=0.712
Epoch 12  val_acc=0.775 f1_macro=0.165  f1_weighted=0.719
Epoch 13  val_acc=0.784 f1_macro=0.172  f1_weighted=0.728
Epoch 14  val_acc=0.786 f1_macro=0.174  f1_weighted=0.732
Epoch 15  val_acc=0.789 f1_macro=0.178  f1_weighted=0.733
