/home/bw584/Chord-Classification/Models/CRNN/crnn_train.py:130: UserWarning: Rare classes (<2) – random split applied.
  warnings.warn("Rare classes (<2) – random split applied.")
Epoch 01  val_acc=0.808 f1_macro=0.315  f1_weighted=0.778
Epoch 02  val_acc=0.832 f1_macro=0.409  f1_weighted=0.813
Epoch 03  val_acc=0.849 f1_macro=0.506  f1_weighted=0.839
Epoch 04  val_acc=0.862 f1_macro=0.578  f1_weighted=0.855
Epoch 05  val_acc=0.875 f1_macro=0.618  f1_weighted=0.870
Epoch 06  val_acc=0.884 f1_macro=0.646  f1_weighted=0.880
Epoch 07  val_acc=0.891 f1_macro=0.651  f1_weighted=0.887
Epoch 08  val_acc=0.897 f1_macro=0.683  f1_weighted=0.893
Epoch 09  val_acc=0.900 f1_macro=0.691  f1_weighted=0.896
Epoch 10  val_acc=0.904 f1_macro=0.701  f1_weighted=0.900
Epoch 11  val_acc=0.906 f1_macro=0.713  f1_weighted=0.903
Epoch 12  val_acc=0.909 f1_macro=0.711  f1_weighted=0.905
