/home/yaxin/My_Files/ml_final/Chord-Classification/Models/Logistic/logistic.py:72: UserWarning: Some classes occur only once — using random split.
  warnings.warn("Some classes occur only once — using random split.")
✅ Device: cuda:0
✅ Hyperparameters: lr=0.0002, batch_size=64, epochs=30
✅ Total usable samples: 122912
✅ Feature matrix shape: (122912, 128)
✅ Number of classes: 320
Epoch 01/30 | Loss: 6236.8591
Epoch 02/30 | Loss: 3219.2081
Epoch 03/30 | Loss: 2623.2583
Epoch 04/30 | Loss: 2332.3734
Epoch 05/30 | Loss: 2146.5675
Epoch 06/30 | Loss: 2014.8625
Epoch 07/30 | Loss: 1915.4464
Epoch 08/30 | Loss: 1835.5671
Epoch 09/30 | Loss: 1770.5720
Epoch 10/30 | Loss: 1716.0937
Epoch 11/30 | Loss: 1668.9850
Epoch 12/30 | Loss: 1628.1944
Epoch 13/30 | Loss: 1592.4150
Epoch 14/30 | Loss: 1560.8790
Epoch 15/30 | Loss: 1532.6510
Epoch 16/30 | Loss: 1506.5767
Epoch 17/30 | Loss: 1482.8706
Epoch 18/30 | Loss: 1462.1194
Epoch 19/30 | Loss: 1442.0926
Epoch 20/30 | Loss: 1423.7618
Epoch 21/30 | Loss: 1406.7415
Epoch 22/30 | Loss: 1390.9576
Epoch 23/30 | Loss: 1376.4574
Epoch 24/30 | Loss: 1362.6720
Epoch 25/30 | Loss: 1349.8421
Epoch 26/30 | Loss: 1337.3846
Epoch 27/30 | Loss: 1325.8961
Epoch 28/30 | Loss: 1314.9172
Epoch 29/30 | Loss: 1304.8341
Epoch 30/30 | Loss: 1294.9807

✅ Final Accuracy: 0.799 | Macro F1-score: 0.374

Classification Report:
              precision    recall  f1-score   support

         A:7       0.50      0.10      0.17        10
       A:7/3       1.00      0.25      0.40         4
       A:7/5       1.00      0.67      0.80         3
      A:7/b7       0.00      0.00      0.00         5
       A:aug       0.00      0.00      0.00         1
       A:dim       1.00      0.25      0.40         4
     A:hdim7       1.00      1.00      1.00         1
       A:maj       0.84      0.96      0.89       493
     A:maj/3       0.65      0.68      0.67        19
     A:maj/5       1.00      0.14      0.25         7
      A:maj6       1.00      0.25      0.40         4
      A:maj7       0.80      0.44      0.57        18
    A:maj7/3       1.00      1.00      1.00         1
    A:maj7/5       0.00      0.00      0.00         1
    A:maj7/7       0.40      0.50      0.44         4
       A:min       0.86      0.96      0.91       397
     A:min/5       0.86      0.73      0.79        26
    A:min/b3       1.00      0.25      0.40         8
      A:min7       0.66      0.56      0.60        34
   A:min7/b7       0.67      0.19      0.30        21
      A:sus2       0.68      0.40      0.51        47
      A:sus4       0.45      0.38      0.42        13
  A:sus4(b7)       0.00      0.00      0.00         6
        Ab:7       0.00      0.00      0.00         4
      Ab:7/3       0.00      0.00      0.00         1
      Ab:7/5       1.00      0.50      0.67         2
     Ab:7/b7       1.00      0.25      0.40         4
      Ab:dim       1.00      0.80      0.89         5
     Ab:dim7       1.00      0.33      0.50         3
    Ab:hdim7       0.00      0.00      0.00         1
      Ab:maj       0.82      0.93      0.87       450
    Ab:maj/3       0.91      0.59      0.71        17
    Ab:maj/5       0.00      0.00      0.00         6
     Ab:maj6       0.50      0.11      0.18         9
     Ab:maj7       0.86      0.38      0.52        16
   Ab:maj7/5       0.50      1.00      0.67         1
   Ab:maj7/7       1.00      0.09      0.17        11
      Ab:min       0.79      0.95      0.86       259
    Ab:min/5       1.00      0.17      0.29         6
   Ab:min/b3       0.00      0.00      0.00        12
     Ab:min6       0.00      0.00      0.00         1
     Ab:min7       0.78      0.69      0.73        26
   Ab:min7/5       0.00      0.00      0.00         2
  Ab:min7/b7       0.67      0.31      0.42        13
  Ab:minmaj7       0.00      0.00      0.00         1
     Ab:sus2       0.55      0.43      0.48        42
     Ab:sus4       0.60      0.32      0.42        28
 Ab:sus4(b7)       0.57      0.44      0.50         9
         B:7       1.00      0.25      0.40         4
       B:7/5       0.00      0.00      0.00         2
      B:7/b7       0.00      0.00      0.00         4
       B:dim       0.73      0.73      0.73        11
     B:hdim7       0.67      1.00      0.80         2
       B:maj       0.81      0.93      0.86       351
     B:maj/3       0.65      0.85      0.73        13
     B:maj/5       0.38      0.13      0.19        23
      B:maj6       0.00      0.00      0.00         4
      B:maj7       0.80      0.36      0.50        11
    B:maj7/5       0.00      0.00      0.00         2
    B:maj7/7       0.64      0.35      0.45        20
       B:min       0.86      0.94      0.90       298
     B:min/5       0.50      0.12      0.20         8
    B:min/b3       0.00      0.00      0.00         1
      B:min7       0.85      0.65      0.73        62
    B:min7/5       0.00      0.00      0.00         1
   B:min7/b7       1.00      0.14      0.25        14
      B:sus2       0.73      0.49      0.59        45
      B:sus4       0.90      0.45      0.60        20
  B:sus4(b7)       0.00      0.00      0.00         6
        Bb:7       0.50      0.17      0.25         6
     Bb:7/b7       0.00      0.00      0.00         3
      Bb:dim       1.00      1.00      1.00         3
    Bb:hdim7       1.00      1.00      1.00         2
      Bb:maj       0.81      0.95      0.88       457
    Bb:maj/3       0.83      0.31      0.45        16
    Bb:maj/5       0.71      0.25      0.37        20
     Bb:maj6       1.00      0.27      0.43        11
