lr=0.0001, batch_size=32, epochs=10, acc=0.7536, macro_f1=0.1644
lr=0.0001, batch_size=32, epochs=20, acc=0.7787, macro_f1=0.2733
lr=0.0001, batch_size=32, epochs=30, acc=0.7897, macro_f1=0.3322
lr=0.0001, batch_size=64, epochs=10, acc=0.7389, macro_f1=0.1302
lr=0.0001, batch_size=64, epochs=20, acc=0.7655, macro_f1=0.2095
lr=0.0001, batch_size=64, epochs=30, acc=0.7806, macro_f1=0.2838
lr=0.0001, batch_size=128, epochs=10, acc=0.7214, macro_f1=0.1006
lr=0.0001, batch_size=128, epochs=20, acc=0.7507, macro_f1=0.1674
lr=0.0001, batch_size=128, epochs=30, acc=0.7670, macro_f1=0.2222
lr=0.0002, batch_size=32, epochs=10, acc=0.7777, macro_f1=0.2788
lr=0.0002, batch_size=32, epochs=20, acc=0.7974, macro_f1=0.3630
lr=0.0002, batch_size=32, epochs=30, acc=0.8045, macro_f1=0.4026
lr=0.0002, batch_size=64, epochs=10, acc=0.7660, macro_f1=0.2097
lr=0.0002, batch_size=64, epochs=20, acc=0.7903, macro_f1=0.3241
lr=0.0002, batch_size=64, epochs=30, acc=0.7995, macro_f1=0.3740
lr=0.0002, batch_size=128, epochs=10, acc=0.7498, macro_f1=0.1646
lr=0.0002, batch_size=128, epochs=20, acc=0.7775, macro_f1=0.2747
lr=0.0002, batch_size=128, epochs=30, acc=0.7890, macro_f1=0.3261
lr=0.0005, batch_size=32, epochs=10, acc=0.8026, macro_f1=0.3891
lr=0.0005, batch_size=32, epochs=20, acc=0.8115, macro_f1=0.4390
lr=0.0005, batch_size=32, epochs=30, acc=0.8178, macro_f1=0.4715
lr=0.0005, batch_size=64, epochs=10, acc=0.7927, macro_f1=0.3437
lr=0.0005, batch_size=64, epochs=20, acc=0.8065, macro_f1=0.4162
lr=0.0005, batch_size=64, epochs=30, acc=0.8125, macro_f1=0.4553
lr=0.0005, batch_size=128, epochs=10, acc=0.7824, macro_f1=0.2983
lr=0.0005, batch_size=128, epochs=20, acc=0.8009, macro_f1=0.3840
lr=0.0005, batch_size=128, epochs=30, acc=0.8069, macro_f1=0.4287
lr=0.001, batch_size=32, epochs=10, acc=0.8074, macro_f1=0.4387
lr=0.001, batch_size=32, epochs=20, acc=0.8148, macro_f1=0.4795
lr=0.001, batch_size=32, epochs=30, acc=0.8213, macro_f1=0.4895
lr=0.001, batch_size=64, epochs=10, acc=0.8054, macro_f1=0.4154
lr=0.001, batch_size=64, epochs=20, acc=0.8166, macro_f1=0.4638
lr=0.001, batch_size=64, epochs=30, acc=0.8186, macro_f1=0.4847
lr=0.001, batch_size=128, epochs=10, acc=0.7979, macro_f1=0.3805
lr=0.001, batch_size=128, epochs=20, acc=0.8123, macro_f1=0.4488
lr=0.001, batch_size=128, epochs=30, acc=0.8162, macro_f1=0.4623
[BEST] lr=0.001, batch_size=32, epochs=30, acc=0.8196, macro_f1=0.4838
