/home/bw584/Chord-Classification/Models/RNN/rnn_train.py:125: UserWarning: Rare classes (<2 samples) – random split used.
  warnings.warn("Rare classes (<2 samples) – random split used.")
Epoch 01  val_acc=0.751 f1_macro=0.236  f1_weighted=0.713
Epoch 02  val_acc=0.765 f1_macro=0.322  f1_weighted=0.742
Epoch 03  val_acc=0.778 f1_macro=0.346  f1_weighted=0.759
Epoch 04  val_acc=0.769 f1_macro=0.357  f1_weighted=0.761
Epoch 05  val_acc=0.803 f1_macro=0.402  f1_weighted=0.786
Epoch 06  val_acc=0.803 f1_macro=0.415  f1_weighted=0.790
Epoch 07  val_acc=0.814 f1_macro=0.455  f1_weighted=0.803
Epoch 08  val_acc=0.833 f1_macro=0.495  f1_weighted=0.820
Epoch 09  val_acc=0.839 f1_macro=0.525  f1_weighted=0.828
Epoch 10  val_acc=0.849 f1_macro=0.555  f1_weighted=0.842
Epoch 11  val_acc=0.855 f1_macro=0.588  f1_weighted=0.848
Epoch 12  val_acc=0.860 f1_macro=0.588  f1_weighted=0.853
Epoch 13  val_acc=0.866 f1_macro=0.613  f1_weighted=0.860
Epoch 14  val_acc=0.868 f1_macro=0.629  f1_weighted=0.862
Epoch 15  val_acc=0.869 f1_macro=0.624  f1_weighted=0.862
