Epoch 01  val_acc=0.772 f1_macro=0.192  f1_weighted=0.727
Epoch 02  val_acc=0.809 f1_macro=0.305  f1_weighted=0.778
Epoch 03  val_acc=0.824 f1_macro=0.391  f1_weighted=0.809
Epoch 04  val_acc=0.840 f1_macro=0.436  f1_weighted=0.824
Epoch 05  val_acc=0.853 f1_macro=0.488  f1_weighted=0.841
Epoch 06  val_acc=0.863 f1_macro=0.558  f1_weighted=0.854
Epoch 07  val_acc=0.874 f1_macro=0.582  f1_weighted=0.868
Epoch 08  val_acc=0.877 f1_macro=0.621  f1_weighted=0.872
Epoch 09  val_acc=0.882 f1_macro=0.637  f1_weighted=0.876
Epoch 10  val_acc=0.888 f1_macro=0.643  f1_weighted=0.885
Epoch 11  val_acc=0.894 f1_macro=0.664  f1_weighted=0.890
Epoch 12  val_acc=0.897 f1_macro=0.679  f1_weighted=0.894
Epoch 13  val_acc=0.895 f1_macro=0.670  f1_weighted=0.892
Epoch 14  val_acc=0.892 f1_macro=0.673  f1_weighted=0.888
Epoch 15  val_acc=0.897 f1_macro=0.678  f1_weighted=0.894
Epoch 16  val_acc=0.899 f1_macro=0.674  f1_weighted=0.895
Epoch 17  val_acc=0.900 f1_macro=0.691  f1_weighted=0.896
Epoch 18  val_acc=0.901 f1_macro=0.672  f1_weighted=0.897
Epoch 19  val_acc=0.901 f1_macro=0.683  f1_weighted=0.898
Epoch 20  val_acc=0.905 f1_macro=0.687  f1_weighted=0.902
Epoch 21  val_acc=0.903 f1_macro=0.687  f1_weighted=0.900
Epoch 22  val_acc=0.906 f1_macro=0.692  f1_weighted=0.902
Epoch 23  val_acc=0.906 f1_macro=0.701  f1_weighted=0.903
Epoch 24  val_acc=0.907 f1_macro=0.702  f1_weighted=0.903
Epoch 25  val_acc=0.907 f1_macro=0.699  f1_weighted=0.904
Epoch 26  val_acc=0.908 f1_macro=0.700  f1_weighted=0.904
Epoch 27  val_acc=0.908 f1_macro=0.708  f1_weighted=0.905
Epoch 28  val_acc=0.909 f1_macro=0.708  f1_weighted=0.906
Epoch 29  val_acc=0.908 f1_macro=0.706  f1_weighted=0.905
Epoch 30  val_acc=0.908 f1_macro=0.706  f1_weighted=0.905
